GRB,Date-Obs,Follow-up delay,Acquisition mag,z,HI,HI_err,Exptime,Slit width,Airmass,Ambient Seeing,In Sample,RRM,Short,XRT flux,XRT flux density,Intervening systems,,,,
GRB151027B,2015-10-28T03:49:27.121,5,20.5,4.063,20.3,0.2,2.4/2.4/2.4,1.0/0.9/0.9JH,1.5--1.7,1.2,Yes,No,No,2.75E-12,0.183892,nan,,,,
GRB151029A,2015-10-29T08:51:33.428,1,20,1.423,,,1.2/1.2/1.2,1.0/0.9/0.9JH,1.9--1.7,1.1,Yes,No,No,9.92E-13,0.0643102,nan,,,,
GRB151031A,2015-10-31T06:10:01.576,0.3,20.4,1.167,,,4.2/4.2/4.2,1.0/0.9/0.9,1.1--1.1,1.1,Yes,Yes,No,3.98E-12,0.268894,nan,,,,
GRB160117B,2016-01-18T03:26:32.816,13.5,21,0.87,,,4.8/4.8/4.8,1.0/0.9/0.9JH,1.1--1.2,1.1,Yes,No,No,5.46E-13,0.036639,nan,,,,
GRB160203A,2016-02-03T02:31:39.908,0.3,18,3.52,21.8,0.2,6.6/6.6/6.6,1.0/0.9/0.9,1.0--1.8,1.0,Yes,Yes,No,5.83E-12,0.384971,2.203,,,,
GRB160228A,2016-03-12T01:19:49.842,295.8,>24,1.64,,,4.8/4.8/4.8,1.0/0.9/0.9JH,1.7--1.7,1.0,Yes,No,No,,,nan,,,,
GRB160303A,2016-03-04T06:03:08.048  ,19.1,>24,,,,4.8/4.8/4.8,1.0/0.9/0.9JH,1.6--1.5,0.8,Yes,No,Yes,8.46E-14,0.00558458,nan,,,,
GRB160314A,2016-03-15T00:34:33.935 ,13,21.7,0.726,,,4.8/4.8/4.8,1.0/0.9/0.9JH,1.3--1.3,0.8,Yes,No,No,2.13E-13,0.0144806,nan,,,,
GRB160410A,2016-04-10T05:18:12.318,0.15,20.3,1.717,20.5,0.2,1.8/1.8/1.8,1.0/0.9/0.9,2.5--2.3,0.5,Yes,Yes,Yes,1.61E-10,10.3381,"1.4443,1.5813",,,,
GRB160425A,2016-04-26T06:36:18.313,7.2,21.1,0.555,,,4.8/4.8/4.8,1.0/0.9/0.9JH,1.3--1.3,0.5,Yes,No,No,1.29E-12,0.0770078,nan,,,,
GRB160625B,2016-06-27T04:41:13.492,30,19.1,1.406,,,2.4/2.4/2.4,1.0/0.9/0.9JH,1.3--1.3,0.7,No,No,No,,,nan,,,,
GRB160804A,2016-08-04T23:08:42.240,22.4,21.2,0.736,,,2.4/2.4/2.4,1.0/0.9/0.9JH,1.4--1.3,0.6,No,No,No,7.18E-13,0.0484668,nan,,,,
GRB161001A,2016-10-01T07:10:24.284,6.1,>24,0.891,,,2.4/2.4/2.4,1.0/0.9/0.9JH,1.2--1.3,0.5,Yes,No,No,1.75E-12,0.118608,nan,,,,
GRB161007A,2016-10-14T08:27:01.950,323,>24,4.7,,,2.4/2.4/2.4,1.0/0.9/0.9JH,1.6--1.6,0.7,Yes,No,No,,,nan,,,,
GRB161014A,2016-10-15T00:07:17.385 ,11.6,21.4,2.823,21.5,0.5,4.8/4.8/4.8,1.0/0.9/0.9JH,1.1--1.2,0.5,Yes,No,No,2.04E-13,0.0137054,nan,,,,
GRB161023A,2016-10-24T01:15:31.374,3,17.5,2.71,20.95,0.05,1.2/1.2/1.2,1.0/0.9/0.9JH,1.2--1.2,0.9,No,No,No,,,"2.6952,2.4055,2.4040,2.4029,2.3105,2.290,2.231,1.9267,1.2434",,,,
GRB161117A,2016-11-17T02:20:09.009,0.73,19,1.549,,,2.4/2.4/2.4,1.0/0.9/0.9,1.8--1.6,2.6,Yes,No,No,3.45E-11,2.34151,nan,,,,
GRB161219B,2016-12-21T06:33:30.354,35.7,19.5,0.1475,,,2.4/2.4/2.4,1.0/0.9/0.9JH,1.1--1.1,0.9,Yes,No,No,6.04E-12,0.40686,nan,,,,
GRB170113A,2017:01:13T10:04:05,15.23,21.7,1.968,,,4.8/4.8/4.8,1.0/0.9/0.9JH,1.5--1.4,0.9,Yes,No,No,,,nan,,,,
GRB170202A,2017:02:02T18:28:02,9.7,20.8,3.645,21.55,0.1,2.4/2.4/2.4,1.0/0.9/0.9JH,1.3--1.2,0.7,Yes,No,No,,,nan,,,,
