#GRB	Redshift	Ave_NH_PC	Ave_dNH_PC+	Ave_dNH_PC-
111201A	N/A	0.47	+0.26	-0.21
111129A	N/A	0.19	+5.65E-2	-5.14E-2
111123A	N/A	0.18	+5.18E-2	-4.64E-2
111121A	N/A	0.29	+0.12	-0.11
111117A	N/A	0.16	+0.13	-0.10
111109A	N/A	0.23	+0.44	-0.23
111107A	2.893	1.07E-4	+0.98	-1.07E-4
111103B	N/A	0.17	+5.44E-2	-5.08E-2
111029A	N/A	1.7	+1.2	-0.89
111022B	N/A	5.78E-7	+5.32E-2	-5.78E-7
111022A	N/A	0.68	+0.79	-0.47
111020A	N/A	1.8	+0.86	-0.65
111018A	N/A	2.2	+1.1	-0.96
111016A	N/A	5.93E-2	+3.32E-2	-3.05E-2
111008A	4.9898	2.4	+1.1	-1.0
110928A	N/A	0.72	+0.45	-0.28
110921A	N/A	2.55E-2	+5.77E-2	-2.55E-2
110918A	N/A	0.17	+0.10	-8.62E-2
110915B	N/A	0.11	+0.14	-0.11
110915A	N/A	0.28	+5.77E-2	-5.37E-2
110903A	N/A	0.44	+0.21	-0.17
110825A	N/A	1.10E-6	+0.27	-1.10E-6
110820A	N/A	0.25	+0.25	-0.21
110818A	3.36	1.6	+0.82	-0.76
110808A	1.348	2.19E-9	+0.21	-2.19E-9
110802A	N/A	0.17	+1.6	-0.17
110801A	1.858	0.26	+0.25	-0.23
110731A	2.83	0.44	+0.85	-0.44
110726A	N/A	1.48E-6	+4.74E-2	-1.48E-6
110721A	N/A	N/A		
110719A	N/A	2.53E-6	+7.02E-2	-2.53E-6
110715A	0.82	1.6	+0.46	-0.42
110709B	N/A	0.14	+2.06E-2	-1.96E-2
110709A	N/A	1.0	+0.11	-0.10
110708A	N/A	N/A		
110625A	N/A	6.7	+1.9	-1.6
110610A	N/A	1.2	+0.24	-0.22
110604A	N/A	0.14	+0.24	-0.14
110530A	N/A	0.22	+6.83E-2	-6.18E-2
110521A	N/A	0.33	+0.34	-0.25
110520A	N/A	0.32	+1.00E-1	-8.82E-2
110503A	1.613	0.24	+0.12	-0.11
110428A	N/A	3.7	+220	-3.7
110422A	1.77	1.6	+0.27	-0.25
110420A	N/A	0.15	+2.32E-2	-2.22E-2
110414A	N/A	4.31E-2	+9.18E-2	-4.31E-2
110411A	N/A	1.6	+0.24	-0.22
110407A	N/A	3.99E-2	+5.50E-2	-3.99E-2
110402A	N/A	5.59E-2	+5.68E-2	-4.88E-2
110319B	N/A	0.12	+0.20	-0.12
110319A	N/A	7.80E-2	+3.42E-2	-3.16E-2
110318B	N/A	0.48	+0.31	-0.25
110315A	N/A	2.11E-2	+6.17E-2	-2.11E-2
110312A	N/A	0.50	+0.11	-9.95E-2
110305A	N/A	0.13	+0.16	-0.13
110223B	N/A	4.38E-8	+4.27E-2	-4.38E-8
110223A	N/A	0.11	+9.69E-2	-8.31E-2
110213B	N/A	0.27	+0.29	-0.21
110213A	1.46	2.75E-2	+0.21	-2.75E-2
110210A	N/A	2.90E-3	+3.83E-2	-2.90E-3
110208A	N/A	5.23E-2	+5.68E-2	-4.86E-2
110206A	N/A	8.94E-6	+6.26E-2	-8.94E-6
110205A	2.22	0.39	+0.23	-0.22
110201A	N/A	0.24	+0.15	-0.12
110128A	2.339	2.79E-6	+0.48	-2.79E-6
110119A	N/A	6.44E-2	+3.77E-2	-3.51E-2
110112A	N/A	9.45E-2	+0.10	-8.16E-2
110107A	N/A	0.78	+1.8	-0.39
110106B	N/A	0.21	+5.79E-2	-5.31E-2
110106A	N/A	0.36	+0.25	-0.21
110102A	N/A	0.14	+1.94E-2	-1.88E-2
101225A	0.847	0.15	+5.70E-2	-5.44E-2
101224A	N/A	1.4	+4.2	-1.4
101219B	N/A	2.07E-9	+1.11E-2	-2.07E-9
101219A	0.718	0.83	+0.51	-0.39
101213A	N/A	0.98	+0.13	-0.12
101204A	N/A	6.75E-7	+4.53E-2	-6.75E-7
101201A	N/A	4.34E-2	+0.14	-4.34E-2
101117B	N/A	0.20	+0.10	-9.06E-2
101114A	N/A	2.19E-7	+0.24	-2.19E-7
101112A	N/A	1.45E-2	+0.17	-1.45E-2
101030A	N/A	3.94E-2	+4.93E-2	-3.94E-2
101024A	N/A	2.56E-2	+3.57E-2	-2.56E-2
101023A	N/A	0.20	+3.47E-2	-3.29E-2
101017A	N/A	0.16	+0.12	-9.94E-2
101011A	N/A	0.12	+9.62E-2	-8.07E-2
101008A	N/A	6.87E-2	+0.26	-6.87E-2
100915A	N/A	0.43	+0.19	-0.17
100909A	N/A	0.21	+0.64	-0.21
100906A	1.727	0.31	+0.44	-0.31
100905A	N/A	3.33E-2	+4.83E-2	-3.33E-2
100902A	N/A	0.34	+8.17E-2	-7.57E-2
100901A	1.408	0.23	+0.12	-0.12
100823A	N/A	0.21	+8.57E-2	-7.52E-2
100816A	0.8049	0.24	+0.18	-0.16
100814A	1.44	0.13	+6.92E-2	-6.74E-2
100807A	N/A	0.18	+0.26	-0.18
100805A	N/A	1.93E-9	+1.38E-2	-1.93E-9
100802A	N/A	3.35E-6	+6.13E-2	-3.35E-6
100728B	2.106	0.63	+0.61	-0.55
100728A	1.567	2.5	+0.41	-0.38
100727A	N/A	0.27	+5.83E-2	-5.41E-2
100725B	N/A	0.59	+9.85E-2	-9.06E-2
100725A	N/A	4.50E-2	+0.12	-4.50E-2
100724A	1.288	0.22	+0.31	-0.22
100713A	N/A	0.17	+0.20	-0.15
100704A	N/A	0.29	+4.96E-2	-4.71E-2
100702A	N/A	0.15	+0.57	-0.15
100628A	N/A	N/A		
100625A	N/A	1.34E-2	+6.79E-2	-1.34E-2
100621A	0.542	2.8	+0.28	-0.27
100619A	N/A	0.62	+7.66E-2	-7.17E-2
100615A	1.398	17.4	+2.2	-2.0
100614A	N/A	0.11	+4.88E-2	-4.43E-2
100606A	N/A	0.22	+6.57E-2	-5.92E-2
100528A	N/A	2.78E-5	+0.13	-2.78E-5
100526B	N/A	3.61E-2	+0.23	-3.61E-2
100526A	N/A	0.13	+4.98E-2	-4.56E-2
100522A	N/A	0.66	+8.59E-2	-8.04E-2
100518A	N/A	0.45	+0.31	-0.24
100514A	N/A	3.47E-13	+5.56E-2	-3.47E-13
100513A	4.772	1.7	+2.2	-1.7
100508A	N/A	7.58E-2	+3.87E-2	-3.54E-2
100504A	N/A	0.50	+0.30	-0.24
100425A	1.755	1.61E-5	+0.37	-1.61E-5
100424A	2.465	3.3	+1.7	-1.4
100420A	N/A	1.40E-10	+5.46E-2	-1.40E-10
100418A	0.6235	3.39E-6	+0.12	-3.39E-6
100414A	N/A	9.32E-2	+0.18	-9.32E-2
100413A	N/A	0.24	+5.34E-2	-5.02E-2
100331B	N/A	6.21E-2	+0.11	-6.21E-2
100316D	0.059	0.51	+1.4	-0.51
100316C	N/A	0.32	+0.24	-0.19
100316B	1.18	0.28	+0.43	-0.28
100316A	N/A	8.23E-2	+0.14	-8.23E-2
100305A	N/A	0.15	+4.62E-2	-4.25E-2
100302A	4.813	0.61	+2.1	-0.61
100219A	4.6667	3.58E-6	+1.5	-3.58E-6
100213B	N/A	2.08E-6	+8.84E-2	-2.08E-6
100213A	N/A	0.38	+0.82	-0.38
100212A	N/A	9.39E-15	+1.86E-2	-9.39E-15
100206A	N/A	0.46	+0.68	-0.46
100205A	N/A	3.48E-2	+5.73E-2	-3.48E-2
100117A	0.92	0.55	+0.50	-0.32
100115A	N/A	6.02E-8	+0.18	-6.02E-8
100111A	N/A	0.10	+5.64E-2	-5.04E-2
100103A	N/A	0.54	+0.22	-0.19
091230	N/A	1.90E-6	+0.42	-1.90E-6
091221	N/A	2.59E-2	+0.15	-2.59E-2
091208B	1.063	1.2	+0.29	-0.26
091202	N/A	0.31	+0.53	-0.31
091130B	N/A	0.20	+3.91E-2	-3.66E-2
091127	0.49	0.13	+6.51E-2	-6.18E-2
091111	N/A	0.41	+1.9	-0.41
091109B	N/A	5.54E-5	+0.14	-5.54E-5
091109A	3.076	1.2	+1.1	-0.98
091104	N/A	1.20E-7	+2.00E-2	-1.20E-7
091102	N/A	0.43	+0.75	-0.23
091029	2.752	0.58	+0.33	-0.31
091026	N/A	0.39	+9.43E-2	-8.59E-2
091024	1.092	3.6	+2.1	-1.8
091020	1.71	0.77	+0.17	-0.16
091018	0.971	0.24	+8.17E-2	-7.85E-2
091010	N/A	0.14	+0.18	-0.14
091003	0.897	0.33	+0.19	-0.17
090929B	N/A	9.58E-2	+4.10E-2	-3.79E-2
090927	1.37	0.21	+0.27	-0.21
090926B	1.24	2.4	+0.75	-0.65
090926A	2.1062	0.31	+0.40	-0.31
090915	N/A	9.50E-7	+0.13	-9.50E-7
090912	N/A	0.79	+0.13	-0.12
090904B	N/A	1.4	+0.46	-0.40
090904A	N/A	1.62E-2	+5.94E-2	-1.62E-2
090902B	1.822	2.3	+0.74	-0.64
090831C	N/A	4.23E-2	+0.21	-4.23E-2
090827	N/A	8.30E-7	+0.24	-8.30E-7
090823	N/A	0.28	+0.58	-0.28
090817	N/A	0.98	+0.71	-0.58
090814B	N/A	0.38	+1.2	-0.38
090814A	0.696	4.20E-12	+3.08E-2	-4.20E-12
090813	N/A	0.15	+3.80E-2	-3.59E-2
090812	2.452	1.0	+0.62	-0.56
090809	2.737	0.98	+0.66	-0.61
090807	N/A	0.28	+7.69E-2	-7.79E-2
090728	N/A	1.37E-2	+4.98E-2	-1.37E-2
090727	N/A	4.51E-8	+9.17E-2	-4.51E-8
090726	2.71	1.5	+0.87	-0.73
090720	N/A	1.15E-7	+0.10	-1.15E-7
090715B	3	1.3	+0.64	-0.59
090709A	1.8	2.1	+0.35	-0.33
090702	N/A	3.80E-6	+0.12	-3.80E-6
090628	N/A	0.14	+0.27	-0.14
090625B	N/A	0.24	+0.16	-0.13
090621B	N/A	0.57	+0.70	-0.51
090621A	N/A	1.6	+0.36	-0.33
090618	0.54	0.25	+3.60E-2	-3.51E-2
090607	N/A	7.25E-2	+0.12	-7.25E-2
090531B	N/A	1.8	+2.7	-1.8
090531A	N/A	5.94E-2	+0.29	-5.94E-2
090530	1.266	0.37	+0.18	-0.17
090529	2.625	1.18E-6	+0.23	-1.18E-6
090519	3.85	2.3	+3.1	-2.3
090518	N/A	0.96	+0.18	-0.16
090516	4.109	2.0	+0.81	-0.78
090515	N/A	7.41E-2	+0.23	-7.41E-2
090510	0.903	9.90E-2	+0.11	-9.90E-2
090429B	N/A	0.10	+6.04E-2	-5.36E-2
090429A	N/A	N/A		
090426	2.609	0.41	+0.56	-0.41
090424	0.544	0.61	+9.45E-2	-8.81E-2
090423	8.2	9.3	+8.0	-7.2
090422	N/A	0.21	+9.89E-2	-0.10
090419	N/A	1.2	+0.51	-0.42
090418A	1.608	1.6	+0.29	-0.27
090417B	0.345	2.2	+0.23	-0.22
090407	N/A	0.31	+4.67E-2	-4.43E-2
090404	3	7.6	+1.1	-0.98
090401B	N/A	0.16	+6.85E-2	-6.41E-2
090328A	0.736	0.56	+0.50	-0.38
090323	3.57	4.01E-6	+2.0	-4.01E-6
090313	3.375	4.3	+1.6	-1.4
090309	N/A	0.28	+0.29	-0.12
090308	N/A	0.50	+0.18	-0.28
090307	N/A	0.16	+0.44	-0.16
090306B	N/A	4.7	+5.4	-2.3
090205	4.65	0.29	+2.5	-0.29
090201	2.1	6.6	+0.78	-0.73
090126A	N/A	7.64E-6	+0.12	-7.64E-6
090123	N/A	7.14E-3	+3.00E-2	-7.14E-3
090118	N/A	2.08E-7	+0.27	-2.08E-7
090117	N/A	2.0	+1.8	-1.3
090113	N/A	0.30	+0.11	-9.37E-2
090111	N/A	0.10	+5.88E-2	-5.32E-2
090107B	N/A	5.15E-2	+8.09E-2	-5.15E-2
090102	1.547	0.72	+0.22	-0.21
081230	N/A	3.84E-2	+3.22E-2	-2.95E-2
081228	N/A	6.30E-2	+0.20	-6.30E-2
081226A	N/A	1.2	+2.4	-0.65
081224	N/A	0.30	+0.40	-0.30
081222	2.77	0.59	+0.31	-0.29
081221	2.26	4.4	+0.56	-0.52
081211B	N/A	6.79E-7	+5.54E-2	-6.79E-7
081211	N/A	0.10	+6.44E-2	-5.63E-2
081210	2.0631	9.30E-2	+0.28	-9.30E-2
081204	N/A	0.53	+0.44	-0.44
081203B	N/A	9.13E-2	+3.00E-2	-2.82E-2
081203A	2.1	0.79	+0.30	-0.29
081128	N/A	1.24E-9	+5.10E-2	-1.24E-9
081127	N/A	8.45E-12	+3.03E-2	-8.45E-12
081126	N/A	0.12	+0.10	-9.20E-2
081121	2.512	0.18	+0.31	-0.18
081118	2.58	7.68E-7	+0.66	-7.68E-7
081109	0.9787	1.4	+0.25	-0.22
081105	N/A	0.54	+0.49	-0.22
081104	N/A	1.8	+0.50	-0.43
081102	N/A	9.59E-9	+7.43E-2	-9.59E-9
081029	3.847	0.66	+0.81	-0.66
081028	3.038	0.44	+0.37	-0.35
081025	N/A	1.96E-2	+0.33	-1.96E-2
081024A	N/A	0.72	+0.98	-0.72
081016B	N/A	0.18	+0.21	-0.16
081016A	N/A	1.17E-7	+0.42	-1.17E-7
081012	N/A	4.94E-2	+0.20	-4.94E-2
081011	N/A	1.13E-2	+4.65E-2	-1.13E-2
081008	1.967	0.10	+0.33	-0.10
081007	0.5295	0.71	+0.15	-0.13
081003A	N/A	0.96	+0.87	-0.56
081001	N/A	1.3	+1.4	-1.0
080928	1.69	0.34	+0.22	-0.21
080919	N/A	1.3	+1.1	-0.27
080916C	N/A	0.15	+0.26	-0.15
080916B	N/A	3.13E-6	+0.10	-3.13E-6
080916A	0.689	0.80	+0.18	-0.17
080915A	N/A	0.62	+0.41	-0.31
080913	6.7	3.8	+9.2	-3.8
080906	N/A	1.29E-5	+0.11	-1.29E-5
080905B	2.374	3.3	+0.78	-0.70
080905A	0.1218	0.28	+0.20	-0.21
080903	N/A	6.87E-2	+0.16	-6.87E-2
080828	N/A	1.1	+2.4	-1.1
080825	N/A	1.03E-9	+0.15	-1.03E-9
080810	3.35	0.34	+0.64	-0.34
080805	1.51	1.7	+0.99	-0.73
080804	2.2	0.24	+0.30	-0.24
080802	N/A	1.0	+1.0	-0.33
080727C	N/A	1.7	+0.61	-0.53
080727B	N/A	0.63	+0.50	-0.40
080727A	N/A	5.19E-7	+9.33E-2	-5.19E-7
080723B	N/A	0.60	+0.34	-0.30
080723A	N/A	1.1	+0.29	-0.26
080721	2.6	1.1	+0.69	-0.63
080714	N/A	0.10	+0.38	-0.10
080710	0.85	0.12	+0.10	-9.49E-2
080707	1.23	0.43	+0.34	-0.30
080703	N/A	8.05E-7	+2.61E-2	-8.05E-7
080702B	N/A	0.11	+0.49	-0.11
080702A	N/A	1.00	+0.87	-0.71
080701	N/A	0.79	+0.35	-0.30
080625	N/A	1.96E-2	+8.29E-2	-1.96E-2
080623	N/A	0.12	+0.11	-9.97E-2
080613B	N/A	6.86E-2	+0.14	-6.86E-2
080613A	N/A	2.15E-9	+7.93E-2	-2.15E-9
080607	3.04	3.8	+0.77	-0.72
080605	1.64	0.56	+0.41	-0.36
080604	1.42	7.04E-2	+0.29	-7.04E-2
080603B	2.69	0.49	+0.99	-0.49
080603A	1.69	0.98	+0.56	-0.49
080602	1.8204	0.95	+0.27	-0.24
080523	N/A	4.36E-7	+2.81E-2	-4.36E-7
080520	1.55	1.7	+1.8	-0.84
080517	N/A	0.28	+0.19	-0.14
080516	N/A	1.2	+0.39	-0.34
080515	N/A	1.23E-7	+0.21	-1.23E-7
080514B	N/A	4.32E-2	+7.08E-2	-4.32E-2
080507	N/A	0.19	+0.24	-0.17
080506	N/A	1.47E-12	+1.20E-2	-1.47E-12
080503	N/A	3.22E-15	+2.89E-2	-3.22E-15
080430	0.767	0.49	+8.27E-2	-7.87E-2
080426	N/A	0.22	+0.21	-0.18
080413B	1.1	0.31	+8.56E-2	-8.22E-2
080413A	2.43	0.37	+1.2	-0.37
080411	1.03	0.57	+6.86E-2	-6.65E-2
080409	N/A	0.41	+0.32	-0.26
080405	N/A	2.32E-6	+8.77E-2	-2.32E-6
080330	1.51	N/A		
080328	N/A	0.16	+6.31E-2	-5.99E-2
080325	1.78	1.3	+0.72	-0.58
080320	N/A	4.26E-2	+2.28E-2	-2.14E-2
080319D	N/A	2.73E-2	+9.88E-2	-2.73E-2
080319C	1.95	0.88	+0.37	-0.34
080319B	0.94	0.14	+6.10E-2	-5.83E-2
080319A	2.0265	0.85	+0.42	-0.37
080310	2.43	1.76E-8	+0.11	-1.76E-8
080307	N/A	0.11	+7.15E-2	-6.18E-2
080303	N/A	5.20E-9	+3.59E-2	-5.20E-9
080229B	N/A	1.2	+0.90	-0.71
080229A	N/A	0.20	+4.04E-2	-3.84E-2
080218B	N/A	0.33	+0.25	-0.20
080212	N/A	9.48E-2	+3.79E-2	-3.55E-2
080210	2.64	1.7	+1.1	-0.91
080207	2.0858	11.0	+1.7	-1.5
080205	2.72	1.6	+1.0	-0.86
080130	N/A	8.44E-7	+0.35	-8.44E-7
080129	N/A	0.47	+0.23	-0.21
080123	N/A	5.82E-2	+0.13	-5.82E-2
080120	N/A	3.61E-2	+6.87E-2	-3.61E-2
071227	0.383	7.25E-2	+0.19	-7.25E-2
071122	1.14	4.85E-10	+0.14	-4.85E-10
071118	N/A	0.16	+5.62E-2	-5.26E-2
071117	1.33	1.6	+0.50	-0.44
071112C	0.82	2.62E-8	+0.11	-2.62E-8
071104	N/A	2.23E-7	+0.13	-2.23E-7
071101	N/A	4.2	+3.5	-2.8
071031	2.69	2.49E-5	+0.78	-2.49E-5
071028B	N/A	3.02E-6	+0.19	-3.02E-6
071028A	N/A	2.99E-2	+6.18E-2	-2.99E-2
071025	4.8	2.2	+1.0	-0.97
071021	2.452	1.3	+0.41	-0.38
071020	2.146	0.11	+0.52	-0.11
071011	N/A	0.83	+0.64	-0.51
071010B	0.947	0.31	+0.32	-0.28
071010A	0.98	1.9	+1.1	-0.85
071008	N/A	9.56E-8	+0.49	-9.56E-8
071003	1.60435	3.43E-6	+0.26	-3.43E-6
070925	N/A	4.17E-7	+0.34	-4.17E-7
070920B	N/A	N/A		
070917	N/A	0.15	+0.85	-0.15
070913	N/A	9.04E-2	+0.55	-9.04E-2
070911	N/A	5.61E-2	+5.88E-2	-5.12E-2
070810A	2.17	1.1	+0.52	-0.47
070809	N/A	1.15E-7	+3.37E-2	-1.15E-7
070808	N/A	0.86	+0.24	-0.21
070802	2.45	0.65	+0.93	-0.65
070729	N/A	7.55E-6	+0.10	-7.55E-6
070724B	N/A	0.32	+0.45	-0.32
070724A	0.457	6.69E-2	+0.23	-6.69E-2
070721B	3.626	0.86	+0.87	-0.81
070721A	N/A	6.67E-2	+7.42E-2	-5.81E-2
070714B	0.92	0.60	+0.21	-0.26
070714A	N/A	0.79	+0.30	-0.26
070707	N/A	9.71E-8	+0.24	-9.71E-8
070704	N/A	0.91	+0.42	-0.41
070628	N/A	0.34	+8.49E-2	-8.16E-2
070621	N/A	0.45	+8.57E-2	-7.87E-2
070616	N/A	8.72E-3	+8.16E-2	-8.72E-3
070615	N/A	4.36E-6	+0.49	-4.36E-6
070612B	N/A	0.81	+0.40	-0.57
070611	2.04	4.37E-5	+0.68	-4.37E-5
070531	N/A	1.78E-8	+9.22E-2	-1.78E-8
070529	2.5	2.2	+2.6	-1.9
070521	2.0865	9.8	+1.4	-1.3
070520B	N/A	0.14	+0.15	-0.11
070520A	N/A	0.14	+0.16	-8.58E-2
070518	N/A	5.94E-3	+5.04E-2	-5.94E-3
070517	N/A	1.28E-2	+6.58E-2	-1.28E-2
070509	N/A	0.55	+0.38	-0.30
070508	0.82	0.83	+0.26	-0.22
070506	2.31	0.64	+0.93	-0.64
070429B	N/A	0.73	+0.68	-0.63
070429A	N/A	8.41E-3	+0.12	-8.41E-3
070420	N/A	3.40E-2	+5.81E-2	-3.40E-2
070419B	1.9588	0.47	+0.19	-0.18
070419A	0.97	0.46	+0.35	-0.30
070412	N/A	0.12	+7.31E-2	-6.35E-2
070411	2.95	8.65E-10	+2.5	-8.65E-10
070330	N/A	8.20E-2	+6.51E-2	-6.00E-2
070328	2.0627	1.7	+0.24	-0.22
070318	0.84	0.90	+0.15	-0.14
070311	N/A	0.17	+0.22	-0.15
070309	N/A	2.28E-5	+0.20	-2.28E-5
070306	1.496	3.6	+0.45	-0.42
070227	N/A	0.11	+0.25	-0.11
070224	N/A	4.17E-7	+5.32E-2	-4.17E-7
070223	1.6295	4.0	+1.9	-1.5
070220	N/A	0.29	+0.12	-0.11
070219	N/A	0.36	+0.17	-0.15
070208	1.17	0.92	+0.33	-0.29
070129	2.3384	0.40	+0.30	-0.28
070125	1.5471	0.32	+0.39	-0.32
070110	2.352	0.27	+0.20	-0.19
070107	N/A	5.39E-2	+4.64E-2	-4.43E-2
070103	N/A	0.29	+9.21E-2	-8.31E-2
061222B	3.36	3.5	+6.3	-3.5
061222A	2.088	5.1	+0.62	-0.59
061217	0.827	1.08E-5	+10.6	-1.08E-5
061210	N/A	0.94	+1.3	-0.78
061202	2.253	9.3	+1.3	-1.2
061201	N/A	6.71E-2	+6.71E-2	-5.75E-2
061126	N/A	0.10	+3.05E-2	-2.92E-2
061122	N/A	1.01E-3	+6.74E-2	-1.01E-3
061121	1.314	0.75	+0.13	-0.12
061110B	3.44	3.2	+3.2	-2.8
061110A	0.757	2.53E-9	+2.77E-2	-2.53E-9
061102	N/A	1.36E-7	+0.18	-1.36E-7
061028	N/A	8.69E-2	+0.13	-8.69E-2
061025	N/A	8.06E-2	+0.12	-8.06E-2
061021	0.3463	5.60E-2	+2.64E-2	-2.58E-2
061019	N/A	1.3	+0.35	-0.32
061007	1.26	0.72	+0.16	-0.15
061006	N/A	5.58E-6	+0.11	-5.58E-6
061004	N/A	2.12E-2	+4.71E-2	-2.12E-2
061002	N/A	0.23	+0.20	-0.17
060929	N/A	0.15	+8.80E-2	-7.57E-2
060928	N/A	5.7	+8.6	-3.7
060927	5.467	8.76E-7	+3.2	-8.76E-7
060926	3.2	4.6	+4.2	-3.2
060923C	N/A	8.01E-2	+5.96E-2	-5.33E-2
060923B	N/A	0.40	+0.21	-0.16
060923A	N/A	0.14	+9.81E-2	-8.19E-2
060919	N/A	1.6	+0.88	-0.48
060912A	0.94	0.25	+0.17	-0.16
060908	1.8836	0.88	+0.50	-0.45
060906	3.69	1.4	+2.3	-1.4
060904B	0.7	0.30	+0.18	-0.16
060904A	N/A	7.53E-9	+8.36E-2	-7.53E-9
060901	N/A	0.34	+0.43	-0.34
060825	N/A	0.14	+0.32	-0.14
060814	1.9229	2.9	+0.32	-0.30
060813	N/A	8.41E-2	+5.90E-2	-5.60E-2
060807	N/A	0.12	+2.86E-2	-2.71E-2
060805B	N/A	1.31E-5	+6.61E-2	-1.31E-5
060805A	N/A	5.78E-2	+8.38E-2	-5.78E-2
060804	N/A	2.07E-2	+0.14	-2.07E-2
060801	1.13	0.37	+0.30	-0.26
060729	0.54	8.01E-2	+2.19E-2	-2.14E-2
060719	1.532	2.8	+0.59	-0.51
060717	N/A	0.17	+0.21	-0.16
060714	2.71	0.94	+0.62	-0.58
060712	N/A	0.15	+5.47E-2	-5.09E-2
060708	N/A	2.16E-2	+2.33E-2	-2.16E-2
060707	3.43	5.79E-2	+0.80	-5.79E-2
060614	0.125	1.46E-2	+2.41E-2	-1.46E-2
060607A	3.082	0.64	+0.41	-0.39
060605	3.8	0.70	+0.81	-0.70
060604	2.68	1.0	+0.57	-0.53
060602B	N/A	6.8	+1.8	-1.6
060602A	N/A	0.28	+0.51	-0.28
060526	3.21	8.98E-10	+0.35	-8.98E-10
060522	5.11	3.0	+3.2	-2.9
060515	N/A	1.54E-7	+8.57E-2	-1.54E-7
060512	0.4428	3.05E-27	+5.04E-2	-3.05E-27
060510B	4.9	0.93	+2.5	-0.93
060510A	N/A	2.53E-6	+5.28E-2	-2.53E-6
060507	N/A	2.90E-2	+5.10E-2	-2.90E-2
060505	N/A	6.39E-2	+0.21	-6.39E-2
060502B	N/A	0.12	+0.32	-0.12
060502A	1.51	0.35	+0.21	-0.20
060501	N/A	0.37	+5.2	-0.37
060428B	N/A	8.30E-10	+1.70E-2	-8.30E-10
060428A	N/A	0.49	+0.18	-0.17
060427	N/A	0.11	+5.74E-2	-5.16E-2
060421	N/A	0.92	+0.67	-0.61
060418	1.49	0.10	+0.39	-0.10
060413	N/A	2.2	+0.33	-0.32
060403	N/A	0.26	+0.40	-0.26
060323	N/A	8.80E-6	+5.35E-2	-8.80E-6
060322	N/A	2.77E-2	+0.20	-2.77E-2
060319	N/A	0.56	+8.36E-2	-7.80E-2
060313	N/A	3.10E-3	+3.03E-2	-3.10E-3
060312	N/A	4.45E-10	+2.71E-2	-4.45E-10
060306	1.55	4.1	+0.65	-0.60
060223A	4.41	2.8	+3.6	-2.8
060219	N/A	0.38	+0.13	-0.11
060218	0.0331	0.43	+6.10E-2	-5.77E-2
060211B	N/A	2.34E-8	+0.12	-2.34E-8
060211A	N/A	1.61E-2	+7.92E-2	-1.61E-2
060210	3.91	2.4	+0.64	-0.61
060206	4.05	2.7	+2.8	-2.4
060204B	2.3393	1.1	+0.28	-0.27
060203	N/A	3.75E-2	+4.87E-2	-3.75E-2
060202	0.785	1.4	+0.19	-0.17
060124	2.297	0.50	+0.28	-0.26
060123	N/A	0.12	+8.91E-2	-7.66E-2
060121	N/A	8.15E-2	+5.64E-2	-4.99E-2
060116	N/A	0.79	+0.31	-0.26
060115	3.53	1.09E-11	+0.33	-1.09E-11
060111B	N/A	0.20	+6.89E-2	-6.51E-2
060111A	N/A	0.13	+5.44E-2	-4.91E-2
060110	N/A	2.17E-6	+0.40	-2.17E-6
060109	N/A	0.22	+6.72E-2	-6.30E-2
060108	N/A	4.77E-2	+4.53E-2	-4.05E-2
060105	N/A	0.18	+4.18E-2	-3.99E-2
051227	N/A	4.88E-2	+8.06E-2	-4.88E-2
051221B	N/A	1.7	+2.0	-1.3
051221A	0.5465	0.19	+9.74E-2	-9.05E-2
051211B	N/A	9.55E-2	+0.17	-9.55E-2
051210	N/A	0.32	+0.31	-0.11
051117B	N/A	0.29	+0.16	-0.24
051117A	N/A	8.85E-2	+3.02E-2	-2.83E-2
051111	1.55	0.59	+0.37	-0.33
051109B	N/A	6.52E-2	+8.78E-2	-6.52E-2
051109A	2.346	1.56E-5	+0.48	-1.56E-5
051028	N/A	0.13	+0.14	-0.12
051022	0.8	5.6	+0.65	-0.62
051021B	N/A	0.13	+0.56	-0.13
051021A	N/A	6.05E-2	+7.20E-2	-6.05E-2
051016B	0.9364	0.72	+0.20	-0.18
051016A	N/A	0.40	+0.13	-0.13
051012	N/A	8.55E-8	+3.2	-8.55E-8
051008	N/A	0.40	+5.38E-2	-5.07E-2
051006	1.059	2.6	+1.0	-0.83
051001	2.4296	1.3	+0.72	-0.62
050922C	2.198	7.65E-2	+0.31	-7.65E-2
050922B	4.9	5.5	+1.4	-1.3
050916	N/A	0.51	+0.35	-0.31
050915B	N/A	8.97E-2	+0.13	-8.97E-2
050915A	N/A	8.75E-2	+6.07E-2	-5.32E-2
050908	3.35	5.29E-13	+0.39	-5.29E-13
050904	6.29	2.0	+1.6	-1.5
050827	N/A	0.22	+0.16	-0.14
050826	0.297	1.0	+0.39	-0.34
050824	0.83	7.25E-2	+0.14	-7.25E-2
050822	1.434	0.30	+0.12	-0.11
050820B	N/A	7.49E-2	+0.33	-7.49E-2
050820A	2.612	0.33	+0.21	-0.21
050819	N/A	9.35E-3	+6.12E-2	-9.35E-3
050815	N/A	3.24E-8	+0.14	-3.24E-8
050814	5.3	3.45E-6	+1.1	-3.45E-6
050813	N/A	6.16E-2	+0.62	-6.16E-2
050803	4.3	4.7	+1.0	-0.96
050802	1.71	0.23	+0.13	-0.12
